Date,USD_IDR,Returns,Rolling_Mean_7,Rolling_Mean_14,Anomaly,Anomaly_Score,Anomaly_Votes,IF_Score,OCSVM_Score,Stats_Score
2025-01-20,16367.099609375,0.0,16367.099609375,16367.099609375,1,0.038580933419061915,0,0.536989398272832,-0.0007441191977055617,0.1172940589432424
2025-01-21,16245.0,-0.007460063926357563,16306.0498046875,16306.0498046875,1,0.36166513378508885,1,0.5485767693010172,1.00353965137856e-08,1.4742799296349545
2025-01-22,16330.7998046875,0.0052816130924899785,16314.2998046875,16314.2998046875,1,0.20400260342054577,0,0.5272347291014235,-0.00035060406771636465,0.8434315342580269
2025-01-23,16232.7998046875,-0.006000930828376827,16293.9248046875,16293.9248046875,1,0.2965169964974247,1,0.5418459967628408,0.00013804518871252114,1.2088635716835494
2025-01-24,16230.900390625,-0.00011701087214488481,16281.319921875,16281.319921875,1,0.041540433146999844,1,0.5316967286889825,0.00023446509521241055,0.1385783403898023
2025-01-27,16164.900390625,-0.004066317851234014,16261.916666666666,16261.916666666666,1,0.22518124373559084,1,0.5647152799936146,0.0006904568546808321,0.856957408257223
2025-01-28,16155.599609375,-0.00057536891816512,16246.728515625,16246.728515625,1,0.06587588572903219,1,0.5414204837319428,0.000857539776006,0.22195368385968195
2025-01-29,15881.2001953125,-0.016984786742503033,16177.31431361607,16201.037475585938,-1,0.8313755712229636,3,0.6832640749440878,0.0033822966764609497,3.206827319490241
2025-01-30,16238.0,0.022466803534962887,16176.31431361607,16205.144422743055,-1,1.0,3,0.6649347808947357,0.0009719132088230609,3.9694182343436117
2025-01-31,16274.5,0.002247813770168694,16168.271484375,16212.07998046875,1,0.10617682496234272,1,0.5928027341000077,0.0008326534289526677,0.29158333891499494
2025-02-03,16341.2998046875,0.004104568784755402,16183.771484375,16223.82723721591,1,0.17779931521808534,1,0.5774171238343024,0.0004908590133161361,0.6293271364216146
2025-02-04,16320.0,-0.0013034339337798517,16196.5,16231.841634114584,1,0.09992998642052207,1,0.5484114176956991,0.000464170075999526,0.35438873386554937
2025-02-05,16299.099609375,-0.0012806611902573817,16215.671316964286,16237.01532451923,1,0.0961576275263003,1,0.5424571581972051,0.0004234854779121555,0.35024637107859047
2025-02-06,16298.099609375,-6.135308231536296e-05,16236.02845982143,16241.378487723214,1,0.04228209806648833,1,0.5382606993130654,0.0003184126021880118,0.12845418661067154
2025-02-07,16327.0,0.001773236838507053,16299.714146205357,16238.514229910714,1,0.048037099486993716,0,0.512493721533682,-1.095880077039979e-05,0.20525777961975328
2025-02-10,16314.7001953125,-0.0007533413785447696,16310.671316964286,16243.49281529018,1,0.06143543023504447,0,0.5166136016470249,-1.6837933071833788e-05,0.2543268801876848
2025-02-11,16330.099609375,0.0009438980721769852,16318.61411830357,16243.442801339286,1,0.007470214495506578,0,0.5012539603319977,-8.366486437871856e-05,0.05440103106689152
2025-02-12,16343.2998046875,0.0008083352599344007,16318.899832589286,16251.335658482143,1,0.0,0,0.4976804292708531,-0.00015364052861066568,0.02974215111353447
2025-02-13,16375.0,0.0019396447285027207,16326.75697544643,16261.628487723214,1,0.04791664732369247,0,0.49740008247680695,-0.0003096730208449472,0.2355273802190067
2025-02-14,16219.0,-0.009526717557251874,16315.314174107143,16265.492745535714,1,0.4632348306041641,1,0.5775606372724414,0.0002321093536323815,1.8502042922706223
2025-02-17,16173.0,-0.002836179789136195,16297.442801339286,16266.735630580357,1,0.1494572615782622,1,0.514874335403197,0.0004981005202226996,0.6331952547763394
2025-02-18,16220.0,0.0029060780312866186,16282.15708705357,16290.935616629464,1,0.07617413355311554,1,0.46937133303351414,0.00024261601962116686,0.4113216294090393
2025-02-19,16317.0,0.005980271270036974,16282.485630580357,16296.57847377232,1,0.2125862728733597,0,0.48184403102435336,-0.0001491225184695466,0.9705174794635122
2025-02-20,16346.400390625,0.0018018257415579608,16284.81431361607,16301.71421595982,1,0.024804799082763954,0,0.46046838754661645,-0.0002615076846921305,0.21045810201398762
2025-02-21,16245.099609375,-0.006197130795113637,16270.785714285714,16294.8427734375,1,0.2961223352474451,1,0.5231309267360029,0.000164853284442934,1.2445523520103996
2025-02-24,16278.0,0.0020252501625790398,16256.92857142857,16291.8427734375,1,0.04646675536953382,1,0.48609824353718795,0.00010616530068396912,0.25109901146006963
2025-02-25,16279.2998046875,7.985039240088199e-05,16265.54282924107,16290.428501674107,1,0.002348415870915935,1,0.46596213834418454,7.251593197787898e-05,0.1027692699700075
2025-02-26,16314.0,0.002131553305659173,16285.68568638393,16291.564243861607,1,0.0410950315795405,0,0.4651681422084934,-0.00011792217539996486,0.2704355566416995
2025-02-27,16367.400390625,0.003273286172918999,16306.742885044643,16294.449986049107,1,0.09801968504778867,0,0.48327893960804136,-0.0003520267368632979,0.47811680230796627
2025-02-28,16553.69921875,0.011382310182361577,16340.557059151786,16311.52134486607,1,0.4896144608909626,1,0.5834797181566413,-0.0007536930849765255,1.953148533207107
2025-03-03,16522.0,-0.0019149326281158174,16365.64271763393,16325.228515625,1,0.10680543181192415,0,0.508814211170699,-0.0008532388578008643,0.46562036624185393
2025-03-04,16451.19921875,-0.004285242782350762,16395.085518973214,16332.935616629464,1,0.20508775379640845,0,0.5034177206460425,-0.0008874706462105308,0.8967798603434527
2025-03-05,16379.0,-0.004388690319166,16409.514090401786,16333.22133091518,1,0.20357189259723277,0,0.49066877152341287,-0.0007883182993957405,0.9155969706526773
2025-03-06,16268.900390625,-0.006721998252335326,16408.028459821428,16336.78564453125,1,0.3190630642543012,0,0.5250672259022995,-0.0004558711673197102,1.3400257595396934
2025-03-07,16322.099609375,0.0032699947428933562,16409.185546875,16347.435616629464,1,0.10585542946514367,0,0.5006504493428542,-0.000669651516242098,0.47751809107931487
2025-03-10,16292.599609375,-0.0018073655170598446,16398.49972098214,16352.621303013393,1,0.09647485576801644,0,0.49621693352439855,-0.0005617538124278454,0.4460539052443339
2025-03-11,16324.0,0.0019272793401816646,16365.685546875,16353.121303013393,1,0.03176893938646548,0,0.4642785566202523,-0.0005908338094346988,0.23327811568147314
