bootstrap_iteration,statistic,p_value,significant,comparison
91,0.02580752470686391,0.8726079124700816,False,Pre vs Post Inauguration
92,0.1479688482530873,0.7010804822795971,False,Pre vs Post Inauguration
93,0.3512216796816579,0.5543993257637785,False,Pre vs Post Inauguration
94,2.680007665161974,0.10391027935321905,False,Pre vs Post Inauguration
95,0.4988339001567727,0.4812123422156035,False,Pre vs Post Inauguration
96,1.2036285704236303,0.2745222603728933,False,Pre vs Post Inauguration
97,2.1208393287974743,0.1475948598915147,False,Pre vs Post Inauguration
98,0.3277567446216823,0.5679213188844418,False,Pre vs Post Inauguration
99,0.3825060542486287,0.537291988702809,False,Pre vs Post Inauguration
100,0.032506019441905676,0.8571879829259093,False,Pre vs Post Inauguration
101,0.06561929130015746,0.7982095108625322,False,Pre vs Post Inauguration
102,0.0001274251562362279,0.9910098723744863,False,Pre vs Post Inauguration
103,5.903838814476853,0.016402656470286575,True,Pre vs Post Inauguration
104,1.7726100913458454,0.1852705409955255,False,Pre vs Post Inauguration
105,0.07316741712283757,0.7871867208011304,False,Pre vs Post Inauguration
106,0.09837473391207384,0.7542658478108402,False,Pre vs Post Inauguration
107,0.7677104371822665,0.3824599900797524,False,Pre vs Post Inauguration
108,1.562516023604118,0.21342824979312539,False,Pre vs Post Inauguration
109,2.7428784995926954,0.09997734059145859,False,Pre vs Post Inauguration
110,0.32544119954314416,0.5692903443932147,False,Pre vs Post Inauguration
111,0.02099052106292093,0.8850177080278284,False,Pre vs Post Inauguration
112,0.7298189541109087,0.3944332440820557,False,Pre vs Post Inauguration
113,0.2998133883848516,0.584890368841303,False,Pre vs Post Inauguration
114,0.014199287647065286,0.9053225446212663,False,Pre vs Post Inauguration
115,0.07626510797377975,0.7828402755592838,False,Pre vs Post Inauguration
116,0.08428298216147581,0.7720140027458686,False,Pre vs Post Inauguration
117,1.5391480568476683,0.2168650433648975,False,Pre vs Post Inauguration
118,0.39631950573214403,0.5300446129756662,False,Pre vs Post Inauguration
119,1.5882191308710203,0.20972310601275213,False,Pre vs Post Inauguration
120,2.3143987204017242,0.13048558817255299,False,Pre vs Post Inauguration
121,3.1899604920096833,0.07630377561129384,False,Pre vs Post Inauguration
122,1.134270207481716,0.288739761708922,False,Pre vs Post Inauguration
123,0.006570359099723051,0.9355143202849486,False,Pre vs Post Inauguration
124,0.5629404446908451,0.45436454997038433,False,Pre vs Post Inauguration
125,0.027043610845540033,0.8696197458794642,False,Pre vs Post Inauguration
126,0.10061776814319658,0.7515724385522579,False,Pre vs Post Inauguration
127,1.3292636857267757,0.25094389895671126,False,Pre vs Post Inauguration
128,0.46340724289493707,0.4971847970270159,False,Pre vs Post Inauguration
129,0.21340792045601786,0.6448420687651054,False,Pre vs Post Inauguration
130,2.709554725277939,0.10204103914098979,False,Pre vs Post Inauguration
131,0.8324725180220374,0.36316131202984225,False,Pre vs Post Inauguration
132,0.0611374347461222,0.8050772881524786,False,Pre vs Post Inauguration
133,0.39764194968028105,0.5293600657764372,False,Pre vs Post Inauguration
134,2.483303607836896e-05,0.9960311867911046,False,Pre vs Post Inauguration
135,0.12980530791281983,0.7191888425942616,False,Pre vs Post Inauguration
136,9.99747907442476,0.0019303839287973567,True,Pre vs Post Inauguration
137,0.02102333511021493,0.8849285004837704,False,Pre vs Post Inauguration
138,0.7493822604289907,0.3881852913036762,False,Pre vs Post Inauguration
139,2.3881511646286637,0.12456500254546453,False,Pre vs Post Inauguration
140,0.5136212093145485,0.47479542969448707,False,Pre vs Post Inauguration
141,1.872863582947473,0.17338746353215864,False,Pre vs Post Inauguration
142,4.2412751350183343e-05,0.9948132813430911,False,Pre vs Post Inauguration
143,0.14953750427170756,0.6995777058814735,False,Pre vs Post Inauguration
144,0.2675802860400987,0.605793748114106,False,Pre vs Post Inauguration
145,0.657686227561244,0.4187846120910875,False,Pre vs Post Inauguration
146,0.6080000114876283,0.4368868172214454,False,Pre vs Post Inauguration
147,2.3347471840839327,0.12882107009731383,False,Pre vs Post Inauguration
148,1.171610614049875,0.2809720213233236,False,Pre vs Post Inauguration
