bootstrap_iteration,statistic,p_value,significant,comparison
81,10.239687155443947,0.0015918090818321385,True,Pre-Inauguration vs Entire Period
82,8.955810141913204,0.003103802980786981,True,Pre-Inauguration vs Entire Period
83,16.643290984386194,6.447110548510466e-05,True,Pre-Inauguration vs Entire Period
84,8.651776273581314,0.0036413118907430275,True,Pre-Inauguration vs Entire Period
85,9.626941586702776,0.0021864346727498095,True,Pre-Inauguration vs Entire Period
86,12.252963599947023,0.0005693288249030739,True,Pre-Inauguration vs Entire Period
87,4.587159853002678,0.03338639755010939,True,Pre-Inauguration vs Entire Period
88,7.279952418698346,0.00755103735143106,True,Pre-Inauguration vs Entire Period
89,7.819023601388942,0.005659205922884457,True,Pre-Inauguration vs Entire Period
90,8.347437288356907,0.004275418321888196,True,Pre-Inauguration vs Entire Period
91,16.94553663415876,5.56457253972535e-05,True,Pre-Inauguration vs Entire Period
92,9.755327595250918,0.002045371168865098,True,Pre-Inauguration vs Entire Period
93,15.069960420204353,0.00013947845376145369,True,Pre-Inauguration vs Entire Period
94,13.848883529678714,0.0002555560971986635,True,Pre-Inauguration vs Entire Period
95,25.30551585349722,1.062995076373176e-06,True,Pre-Inauguration vs Entire Period
96,8.03553947265768,0.00504363028380573,True,Pre-Inauguration vs Entire Period
97,10.84350727113795,0.0011667682949005988,True,Pre-Inauguration vs Entire Period
98,14.933587992775497,0.00014919295577703066,True,Pre-Inauguration vs Entire Period
99,13.405756684791605,0.00031884947322911205,True,Pre-Inauguration vs Entire Period
100,23.80595620373954,2.1302251517001255e-06,True,Pre-Inauguration vs Entire Period
101,8.846970109423134,0.0032861942837815383,True,Pre-Inauguration vs Entire Period
102,6.349167685909645,0.012502579082165418,True,Pre-Inauguration vs Entire Period
103,22.793431452833254,3.4178964831259495e-06,True,Pre-Inauguration vs Entire Period
104,20.710099830884108,9.124339286135788e-06,True,Pre-Inauguration vs Entire Period
105,18.569521310101177,2.536587604298845e-05,True,Pre-Inauguration vs Entire Period
106,20.425810936300067,1.0442913492179719e-05,True,Pre-Inauguration vs Entire Period
107,10.1494715396571,0.0016677266994288811,True,Pre-Inauguration vs Entire Period
108,5.89117789770088,0.016076712004467104,True,Pre-Inauguration vs Entire Period
109,12.18651099419438,0.0005887874025118674,True,Pre-Inauguration vs Entire Period
110,8.926863355943164,0.0031512741135124667,True,Pre-Inauguration vs Entire Period
111,2.1635404117071073,0.1428445954561234,False,Pre-Inauguration vs Entire Period
112,7.217878494751586,0.007807278120748653,True,Pre-Inauguration vs Entire Period
113,9.292226888291916,0.0026029290254830266,True,Pre-Inauguration vs Entire Period
114,20.048431033455003,1.2496873806991713e-05,True,Pre-Inauguration vs Entire Period
115,8.48229167396803,0.00398151769785504,True,Pre-Inauguration vs Entire Period
116,26.545748791344586,6.00854035888879e-07,True,Pre-Inauguration vs Entire Period
117,14.371510155183696,0.00019706435042144327,True,Pre-Inauguration vs Entire Period
118,14.342113316056869,0.00019996052885111687,True,Pre-Inauguration vs Entire Period
119,6.7645574300375415,0.009972666647170692,True,Pre-Inauguration vs Entire Period
