bootstrap_iteration,d_statistic,p_value,significant,comparison
84,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
85,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
86,0.7842650103519668,1.1656404183016831e-21,True,Pre vs Post Inauguration
87,0.8273291925465839,1.8052081556307332e-24,True,Pre vs Post Inauguration
88,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
89,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
90,0.870600414078675,9.33496260066648e-28,True,Pre vs Post Inauguration
91,0.8710144927536232,3.0449731407896227e-28,True,Pre vs Post Inauguration
92,0.7981366459627329,2.211877083043853e-22,True,Pre vs Post Inauguration
93,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
94,0.7695652173913043,1.2332333306930685e-20,True,Pre vs Post Inauguration
95,0.7838509316770186,1.7232883692462425e-21,True,Pre vs Post Inauguration
96,0.7693581780538302,1.3993867612426646e-20,True,Pre vs Post Inauguration
97,0.8267080745341615,2.74904237705152e-24,True,Pre vs Post Inauguration
98,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
99,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
100,0.8124223602484472,2.5897620890489788e-23,True,Pre vs Post Inauguration
101,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
102,0.7703933747412008,4.2192639235371595e-21,True,Pre vs Post Inauguration
103,0.7836438923395446,1.904423808545569e-21,True,Pre vs Post Inauguration
104,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
105,0.7416149068322981,2.3397984685346613e-19,True,Pre vs Post Inauguration
106,0.7544513457556936,1.146165014759815e-19,True,Pre vs Post Inauguration
107,0.9422360248447205,5.911425577738071e-34,True,Pre vs Post Inauguration
108,0.884472049689441,1.145120546192707e-28,True,Pre vs Post Inauguration
109,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
110,0.7120082815734989,2.2586828133087767e-17,True,Pre vs Post Inauguration
111,0.8701863354037267,1.5624952060543334e-27,True,Pre vs Post Inauguration
112,0.8701863354037267,1.5624952060543334e-27,True,Pre vs Post Inauguration
113,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
114,0.8130434782608695,1.529711835041579e-23,True,Pre vs Post Inauguration
115,0.7693581780538302,1.3993867612426646e-20,True,Pre vs Post Inauguration
116,0.8701863354037267,1.5624952060543334e-27,True,Pre vs Post Inauguration
117,0.7695652173913043,1.2332333306930685e-20,True,Pre vs Post Inauguration
118,0.755072463768116,9.487751642426869e-20,True,Pre vs Post Inauguration
119,0.8265010351966874,2.8196108962239888e-24,True,Pre vs Post Inauguration
120,0.8271221532091098,2.2550392555595806e-24,True,Pre vs Post Inauguration
121,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
122,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
123,0.8271221532091098,2.2550392555595806e-24,True,Pre vs Post Inauguration
124,0.9283643892339545,3.9583694050067985e-33,True,Pre vs Post Inauguration
125,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
126,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
127,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
128,0.7840579710144927,1.4678192490832136e-21,True,Pre vs Post Inauguration
129,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
130,0.9424430641821946,4.373082918684069e-34,True,Pre vs Post Inauguration
131,0.8556935817805383,2.1099619106959824e-26,True,Pre vs Post Inauguration
132,0.8853002070393374,2.611672729710031e-29,True,Pre vs Post Inauguration
133,0.8422360248447205,5.786697435711984e-26,True,Pre vs Post Inauguration
134,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
135,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
136,0.8120082815734989,2.761690940880804e-23,True,Pre vs Post Inauguration
137,0.8850931677018633,4.9588402506983547e-29,True,Pre vs Post Inauguration
138,0.8991718426501035,5.586822480817603e-30,True,Pre vs Post Inauguration
139,0.7985507246376812,1.5837254517679078e-22,True,Pre vs Post Inauguration
140,0.870600414078675,9.33496260066648e-28,True,Pre vs Post Inauguration
141,0.7977225672877847,2.4599219771762843e-22,True,Pre vs Post Inauguration
142,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
143,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
144,0.884472049689441,1.145120546192707e-28,True,Pre vs Post Inauguration
145,0.9134575569358178,3.369783317079472e-31,True,Pre vs Post Inauguration
146,0.7985507246376812,1.5837254517679078e-22,True,Pre vs Post Inauguration
147,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
148,0.8132505175983437,1.0789409345782223e-23,True,Pre vs Post Inauguration
149,0.8848861283643892,7.770654204755933e-29,True,Pre vs Post Inauguration
150,0.8993788819875776,3.828419385099035e-30,True,Pre vs Post Inauguration
151,0.8997929606625259,9.210379467863182e-31,True,Pre vs Post Inauguration
152,0.7697722567287785,1.0237136646529634e-20,True,Pre vs Post Inauguration
153,0.913871635610766,1.4659669577383017e-31,True,Pre vs Post Inauguration
154,0.9424430641821946,4.373082918684069e-34,True,Pre vs Post Inauguration
155,0.784472049689441,8.63461587520153e-22,True,Pre vs Post Inauguration
156,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
157,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
158,0.8848861283643892,7.770654204755933e-29,True,Pre vs Post Inauguration
