bootstrap_iteration,delta,interpretation,comparison
97,-0.546241267855281,Large,Pre-Inauguration vs Entire Period
98,-0.44906683348973,Medium,Pre-Inauguration vs Entire Period
99,-0.46022312584714836,Medium,Pre-Inauguration vs Entire Period
100,-0.48983421958085704,Large,Pre-Inauguration vs Entire Period
101,-0.5153790011469086,Large,Pre-Inauguration vs Entire Period
102,-0.510165780419143,Large,Pre-Inauguration vs Entire Period
103,-0.37587321447190075,Medium,Pre-Inauguration vs Entire Period
104,-0.5187154624126785,Large,Pre-Inauguration vs Entire Period
105,-0.41601501407569597,Medium,Pre-Inauguration vs Entire Period
106,-0.468772807840684,Medium,Pre-Inauguration vs Entire Period
107,-0.43801480554686684,Medium,Pre-Inauguration vs Entire Period
108,-0.553226983630487,Large,Pre-Inauguration vs Entire Period
109,-0.5119382754665832,Large,Pre-Inauguration vs Entire Period
110,-0.4048587217182775,Medium,Pre-Inauguration vs Entire Period
111,-0.5630278385986862,Large,Pre-Inauguration vs Entire Period
112,-0.4460431654676259,Medium,Pre-Inauguration vs Entire Period
113,-0.38963611719320196,Medium,Pre-Inauguration vs Entire Period
114,-0.5188197268272339,Large,Pre-Inauguration vs Entire Period
115,-0.46095297674903557,Medium,Pre-Inauguration vs Entire Period
116,-0.4577207798978209,Medium,Pre-Inauguration vs Entire Period
117,-0.3755604212282348,Medium,Pre-Inauguration vs Entire Period
118,-0.5828380773641956,Large,Pre-Inauguration vs Entire Period
119,-0.4617870920654781,Medium,Pre-Inauguration vs Entire Period
120,-0.48795746011886143,Large,Pre-Inauguration vs Entire Period
121,-0.4383275987905328,Medium,Pre-Inauguration vs Entire Period
122,-0.40725680325304975,Medium,Pre-Inauguration vs Entire Period
123,-0.5426962777604004,Large,Pre-Inauguration vs Entire Period
124,-0.5335210092795329,Large,Pre-Inauguration vs Entire Period
125,-0.32217704097591493,Small,Pre-Inauguration vs Entire Period
126,-0.5487436138046085,Large,Pre-Inauguration vs Entire Period
127,-0.46345532269836304,Medium,Pre-Inauguration vs Entire Period
128,-0.5478052340736107,Large,Pre-Inauguration vs Entire Period
129,-0.4231049942654572,Medium,Pre-Inauguration vs Entire Period
130,-0.447085809613179,Medium,Pre-Inauguration vs Entire Period
131,-0.38014805546866853,Medium,Pre-Inauguration vs Entire Period
132,-0.4941090605776249,Large,Pre-Inauguration vs Entire Period
133,-0.45438431863205087,Medium,Pre-Inauguration vs Entire Period
134,-0.39735168387029507,Medium,Pre-Inauguration vs Entire Period
135,-0.5266395579188823,Large,Pre-Inauguration vs Entire Period
