bootstrap_iteration,u_statistic,p_value,significant,comparison
87,6908.0,7.408836871493393e-07,True,Post-Inauguration vs Entire Period
88,7287.0,4.38834016144618e-09,True,Post-Inauguration vs Entire Period
89,6721.0,6.893232573077955e-06,True,Post-Inauguration vs Entire Period
90,7118.0,4.7848196101973644e-08,True,Post-Inauguration vs Entire Period
91,7023.5,1.6928009225245487e-07,True,Post-Inauguration vs Entire Period
92,7337.0,2.09901559818264e-09,True,Post-Inauguration vs Entire Period
93,7528.0,1.0967385203829753e-10,True,Post-Inauguration vs Entire Period
94,7044.5,1.283175232764473e-07,True,Post-Inauguration vs Entire Period
95,7555.5,7.057279231480662e-11,True,Post-Inauguration vs Entire Period
96,7321.5,2.6406351349424775e-09,True,Post-Inauguration vs Entire Period
97,7500.0,1.7139803413498056e-10,True,Post-Inauguration vs Entire Period
98,6794.0,2.9539560576597834e-06,True,Post-Inauguration vs Entire Period
99,6559.5,4.0316544465555206e-05,True,Post-Inauguration vs Entire Period
100,6757.0,4.553166397367586e-06,True,Post-Inauguration vs Entire Period
101,7353.5,1.6398768320689703e-09,True,Post-Inauguration vs Entire Period
102,6588.5,2.9677448992364403e-05,True,Post-Inauguration vs Entire Period
103,7002.5,2.2278547101131396e-07,True,Post-Inauguration vs Entire Period
104,7402.5,7.811381777336103e-10,True,Post-Inauguration vs Entire Period
105,7363.0,1.4215284808723567e-09,True,Post-Inauguration vs Entire Period
106,6845.5,1.5952056865842398e-06,True,Post-Inauguration vs Entire Period
107,7301.0,3.5752191399656305e-09,True,Post-Inauguration vs Entire Period
108,7083.5,7.635666518307351e-08,True,Post-Inauguration vs Entire Period
109,7225.5,1.066592690186431e-08,True,Post-Inauguration vs Entire Period
110,7072.5,8.847010466762616e-08,True,Post-Inauguration vs Entire Period
111,6530.5,5.4535492120856915e-05,True,Post-Inauguration vs Entire Period
112,6980.5,2.9608171956661107e-07,True,Post-Inauguration vs Entire Period
113,6501.0,7.3775580006087e-05,True,Post-Inauguration vs Entire Period
114,7255.5,6.935920027321337e-09,True,Post-Inauguration vs Entire Period
115,7222.5,1.1131955189682294e-08,True,Post-Inauguration vs Entire Period
116,7120.0,4.6538451458929284e-08,True,Post-Inauguration vs Entire Period
117,6650.5,1.5159115105608088e-05,True,Post-Inauguration vs Entire Period
118,6680.5,1.087615180090257e-05,True,Post-Inauguration vs Entire Period
119,7360.5,1.4772672933278094e-09,True,Post-Inauguration vs Entire Period
120,7027.0,1.6176055140368457e-07,True,Post-Inauguration vs Entire Period
121,7004.0,2.1851084977072708e-07,True,Post-Inauguration vs Entire Period
122,7208.0,1.3665998738807697e-08,True,Post-Inauguration vs Entire Period
123,6970.5,3.3624651699964014e-07,True,Post-Inauguration vs Entire Period
124,6293.5,0.0005384711331211562,True,Post-Inauguration vs Entire Period
125,6448.5,0.0001247133171760642,True,Post-Inauguration vs Entire Period
126,7633.0,1.9820466953256564e-11,True,Post-Inauguration vs Entire Period
127,6776.5,3.6299719167789927e-06,True,Post-Inauguration vs Entire Period
128,7046.0,1.2591939400850842e-07,True,Post-Inauguration vs Entire Period
129,7176.0,2.1459508898484323e-08,True,Post-Inauguration vs Entire Period
130,7132.5,3.922362223563879e-08,True,Post-Inauguration vs Entire Period
131,7180.0,2.0289717756845744e-08,True,Post-Inauguration vs Entire Period
132,7423.0,5.707107797427666e-10,True,Post-Inauguration vs Entire Period
133,7584.0,4.436435801917517e-11,True,Post-Inauguration vs Entire Period
134,6815.0,2.3021113114420576e-06,True,Post-Inauguration vs Entire Period
135,7189.5,1.7758323339922213e-08,True,Post-Inauguration vs Entire Period
136,7032.0,1.5153919531734834e-07,True,Post-Inauguration vs Entire Period
137,7007.5,2.0871207192337263e-07,True,Post-Inauguration vs Entire Period
138,6292.5,0.0005430249693738738,True,Post-Inauguration vs Entire Period
139,7396.5,8.559082139389058e-10,True,Post-Inauguration vs Entire Period
140,6755.5,4.633078031581606e-06,True,Post-Inauguration vs Entire Period
141,7461.5,3.1412332288229363e-10,True,Post-Inauguration vs Entire Period
142,7067.5,9.460462447000766e-08,True,Post-Inauguration vs Entire Period
143,6760.5,4.374508840119204e-06,True,Post-Inauguration vs Entire Period
144,7392.5,9.102534553553696e-10,True,Post-Inauguration vs Entire Period
145,7383.0,1.0510049323364079e-09,True,Post-Inauguration vs Entire Period
146,6732.0,6.071702469530885e-06,True,Post-Inauguration vs Entire Period
147,6942.5,4.806211602952084e-07,True,Post-Inauguration vs Entire Period
148,6117.0,0.002419254029779133,True,Post-Inauguration vs Entire Period
149,6783.0,3.362922532863958e-06,True,Post-Inauguration vs Entire Period
150,6607.0,2.4352895295746817e-05,True,Post-Inauguration vs Entire Period
151,7251.0,7.393057146716719e-09,True,Post-Inauguration vs Entire Period
152,7089.5,7.039115690581338e-08,True,Post-Inauguration vs Entire Period
153,7186.0,1.8646288794646814e-08,True,Post-Inauguration vs Entire Period
154,7108.5,5.442636959023632e-08,True,Post-Inauguration vs Entire Period
155,7256.0,6.885565506422813e-09,True,Post-Inauguration vs Entire Period
156,6682.5,1.0645058591052041e-05,True,Post-Inauguration vs Entire Period
157,7142.5,3.4187173204928854e-08,True,Post-Inauguration vs Entire Period
158,7433.0,4.889278821240763e-10,True,Post-Inauguration vs Entire Period
159,7080.5,7.949679018671837e-08,True,Post-Inauguration vs Entire Period
160,6769.5,3.940723106705789e-06,True,Post-Inauguration vs Entire Period
161,7914.5,1.4729780010495304e-13,True,Post-Inauguration vs Entire Period
162,7335.0,2.163171078554007e-09,True,Post-Inauguration vs Entire Period
163,7283.5,4.623277396531947e-09,True,Post-Inauguration vs Entire Period
164,7278.5,4.971196735672189e-09,True,Post-Inauguration vs Entire Period
165,6741.5,5.448802175103335e-06,True,Post-Inauguration vs Entire Period
166,6652.5,1.4845841875195246e-05,True,Post-Inauguration vs Entire Period
167,6845.5,1.596927443803793e-06,True,Post-Inauguration vs Entire Period
168,6978.0,3.0559322028927875e-07,True,Post-Inauguration vs Entire Period
169,7178.0,2.0881086689563684e-08,True,Post-Inauguration vs Entire Period
170,7135.5,3.759295218225774e-08,True,Post-Inauguration vs Entire Period
171,7473.0,2.6232678659506066e-10,True,Post-Inauguration vs Entire Period
172,6938.0,5.088098126446588e-07,True,Post-Inauguration vs Entire Period
173,6751.0,4.8829831180372276e-06,True,Post-Inauguration vs Entire Period
174,7726.0,4.12594054820143e-12,True,Post-Inauguration vs Entire Period
175,6884.5,9.91988322210075e-07,True,Post-Inauguration vs Entire Period
176,7225.5,1.0675607700498454e-08,True,Post-Inauguration vs Entire Period
177,7578.5,4.855292427430016e-11,True,Post-Inauguration vs Entire Period
178,7556.5,6.937804923859543e-11,True,Post-Inauguration vs Entire Period
179,6880.0,1.0478700495885855e-06,True,Post-Inauguration vs Entire Period
180,6737.0,5.7380196579258515e-06,True,Post-Inauguration vs Entire Period
181,7233.5,9.517041332899491e-09,True,Post-Inauguration vs Entire Period
182,7193.5,1.6790876266578647e-08,True,Post-Inauguration vs Entire Period
183,6702.0,8.544979873928449e-06,True,Post-Inauguration vs Entire Period
184,6776.0,3.648893777499288e-06,True,Post-Inauguration vs Entire Period
185,6408.0,0.00018513858053096092,True,Post-Inauguration vs Entire Period
186,7530.0,1.0632608641935462e-10,True,Post-Inauguration vs Entire Period
187,7408.0,7.181849570184199e-10,True,Post-Inauguration vs Entire Period
188,6961.0,3.7978801610130534e-07,True,Post-Inauguration vs Entire Period
189,6516.5,6.29690247003473e-05,True,Post-Inauguration vs Entire Period
190,6847.5,1.5575768285371073e-06,True,Post-Inauguration vs Entire Period
191,6862.5,1.2990301189143002e-06,True,Post-Inauguration vs Entire Period
192,7145.5,3.2795889781751614e-08,True,Post-Inauguration vs Entire Period
193,7269.0,5.699349528438304e-09,True,Post-Inauguration vs Entire Period
194,7162.5,2.5919753813853244e-08,True,Post-Inauguration vs Entire Period
195,8010.0,2.518150516407623e-14,True,Post-Inauguration vs Entire Period
196,6812.5,2.3723937253454547e-06,True,Post-Inauguration vs Entire Period
197,7478.5,2.407153420216178e-10,True,Post-Inauguration vs Entire Period
198,6487.5,8.452720821184058e-05,True,Post-Inauguration vs Entire Period
199,6506.5,6.973930467832682e-05,True,Post-Inauguration vs Entire Period
200,7651.0,1.4694412954735935e-11,True,Post-Inauguration vs Entire Period
201,6702.0,8.546668475347878e-06,True,Post-Inauguration vs Entire Period
202,6909.5,7.269358367011792e-07,True,Post-Inauguration vs Entire Period
203,7151.0,3.039737138732039e-08,True,Post-Inauguration vs Entire Period
204,6902.0,7.981781986483852e-07,True,Post-Inauguration vs Entire Period
205,6950.0,4.369015199815257e-07,True,Post-Inauguration vs Entire Period
206,7174.5,2.1906247784116472e-08,True,Post-Inauguration vs Entire Period
207,7515.0,1.350285110434645e-10,True,Post-Inauguration vs Entire Period
208,6953.5,4.181288929293027e-07,True,Post-Inauguration vs Entire Period
209,6437.0,0.00013968236414333988,True,Post-Inauguration vs Entire Period
210,7568.0,5.764384794143949e-11,True,Post-Inauguration vs Entire Period
211,7387.0,9.89271379502113e-10,True,Post-Inauguration vs Entire Period
212,7080.0,7.997779673097442e-08,True,Post-Inauguration vs Entire Period
213,6958.0,3.947549854610739e-07,True,Post-Inauguration vs Entire Period
214,7196.5,1.610395946173863e-08,True,Post-Inauguration vs Entire Period
215,7013.0,1.9427097513372908e-07,True,Post-Inauguration vs Entire Period
216,6890.0,9.270033533569078e-07,True,Post-Inauguration vs Entire Period
217,6867.5,1.22208221382294e-06,True,Post-Inauguration vs Entire Period
218,6985.5,2.77667896491002e-07,True,Post-Inauguration vs Entire Period
219,7432.5,4.930860203547524e-10,True,Post-Inauguration vs Entire Period
220,7169.5,2.3481525169658306e-08,True,Post-Inauguration vs Entire Period
221,7443.5,4.1544165126046947e-10,True,Post-Inauguration vs Entire Period
222,6748.0,5.05652966761876e-06,True,Post-Inauguration vs Entire Period
223,7090.0,6.994423752914768e-08,True,Post-Inauguration vs Entire Period
224,7222.5,1.1134289801941532e-08,True,Post-Inauguration vs Entire Period
225,7387.5,9.812300317870227e-10,True,Post-Inauguration vs Entire Period
226,7397.5,8.431075230346078e-10,True,Post-Inauguration vs Entire Period
227,6823.5,2.0802464274443573e-06,True,Post-Inauguration vs Entire Period
228,7717.5,4.7751401624994255e-12,True,Post-Inauguration vs Entire Period
229,7176.0,2.1455635921275855e-08,True,Post-Inauguration vs Entire Period
230,6547.0,4.5953302186213876e-05,True,Post-Inauguration vs Entire Period
231,6668.5,1.2435155175462983e-05,True,Post-Inauguration vs Entire Period
232,6378.5,0.00024546977698829397,True,Post-Inauguration vs Entire Period
233,7420.0,5.976640957630404e-10,True,Post-Inauguration vs Entire Period
234,7849.5,4.75694972617885e-13,True,Post-Inauguration vs Entire Period
235,6665.0,1.2932849126575633e-05,True,Post-Inauguration vs Entire Period
236,7115.0,4.982871863754333e-08,True,Post-Inauguration vs Entire Period
237,7264.5,6.09199215088326e-09,True,Post-Inauguration vs Entire Period
238,7413.5,6.594196810538592e-10,True,Post-Inauguration vs Entire Period
239,7174.0,2.2062147655373115e-08,True,Post-Inauguration vs Entire Period
240,7344.5,1.877071277026635e-09,True,Post-Inauguration vs Entire Period
241,7002.0,2.2411645421503234e-07,True,Post-Inauguration vs Entire Period
242,7306.0,3.324325912707958e-09,True,Post-Inauguration vs Entire Period
243,7017.0,1.8443071286135162e-07,True,Post-Inauguration vs Entire Period
244,7073.0,8.791388910303147e-08,True,Post-Inauguration vs Entire Period
245,6954.5,4.127595866992279e-07,True,Post-Inauguration vs Entire Period
