bootstrap_iteration,delta,interpretation,comparison
104,0.5215827338129496,Large,Post-Inauguration vs Entire Period
105,0.5134635149023639,Large,Post-Inauguration vs Entire Period
106,0.40709146968139776,Medium,Post-Inauguration vs Entire Period
107,0.5007194244604316,Large,Post-Inauguration vs Entire Period
108,0.4560123329907503,Medium,Post-Inauguration vs Entire Period
109,0.4852004110996917,Large,Post-Inauguration vs Entire Period
110,0.45375128468653647,Medium,Post-Inauguration vs Entire Period
111,0.3423432682425488,Medium,Post-Inauguration vs Entire Period
112,0.43484069886947585,Medium,Post-Inauguration vs Entire Period
113,0.33627954779033914,Medium,Post-Inauguration vs Entire Period
114,0.4913669064748201,Large,Post-Inauguration vs Entire Period
115,0.4845837615621788,Large,Post-Inauguration vs Entire Period
116,0.4635149023638232,Medium,Post-Inauguration vs Entire Period
117,0.3670092497430627,Medium,Post-Inauguration vs Entire Period
118,0.3731757451181912,Medium,Post-Inauguration vs Entire Period
119,0.5129496402877698,Large,Post-Inauguration vs Entire Period
120,0.444398766700925,Medium,Post-Inauguration vs Entire Period
121,0.43967112024665983,Medium,Post-Inauguration vs Entire Period
122,0.4816032887975334,Large,Post-Inauguration vs Entire Period
123,0.4327852004110997,Medium,Post-Inauguration vs Entire Period
124,0.2936279547790339,Small,Post-Inauguration vs Entire Period
125,0.32548818088386433,Small,Post-Inauguration vs Entire Period
126,0.56896197327852,Large,Post-Inauguration vs Entire Period
127,0.39290853031860223,Medium,Post-Inauguration vs Entire Period
128,0.44830421377183965,Medium,Post-Inauguration vs Entire Period
129,0.4750256937307297,Large,Post-Inauguration vs Entire Period
130,0.4660842754367934,Medium,Post-Inauguration vs Entire Period
131,0.47584789311408016,Large,Post-Inauguration vs Entire Period
132,0.5257965056526208,Large,Post-Inauguration vs Entire Period
133,0.5588900308324769,Large,Post-Inauguration vs Entire Period
134,0.40082219938335045,Medium,Post-Inauguration vs Entire Period
135,0.4778006166495375,Large,Post-Inauguration vs Entire Period
136,0.44542651593011306,Medium,Post-Inauguration vs Entire Period
137,0.4403905447070915,Medium,Post-Inauguration vs Entire Period
138,0.2934224049331963,Small,Post-Inauguration vs Entire Period
139,0.5203494347379239,Large,Post-Inauguration vs Entire Period
140,0.3885919835560123,Medium,Post-Inauguration vs Entire Period
141,0.5337101747173689,Large,Post-Inauguration vs Entire Period
142,0.4527235354573484,Medium,Post-Inauguration vs Entire Period
143,0.3896197327852004,Medium,Post-Inauguration vs Entire Period
144,0.5195272353545735,Large,Post-Inauguration vs Entire Period
145,0.5175745118191162,Large,Post-Inauguration vs Entire Period
146,0.38376156217882834,Medium,Post-Inauguration vs Entire Period
147,0.42702980472764646,Medium,Post-Inauguration vs Entire Period
148,0.25734840698869477,Small,Post-Inauguration vs Entire Period
149,0.3942446043165468,Medium,Post-Inauguration vs Entire Period
150,0.3580678314491264,Medium,Post-Inauguration vs Entire Period
151,0.49044193216855086,Large,Post-Inauguration vs Entire Period
152,0.45724563206577595,Medium,Post-Inauguration vs Entire Period
153,0.4770811921891059,Large,Post-Inauguration vs Entire Period
154,0.4611510791366906,Medium,Post-Inauguration vs Entire Period
155,0.49146968139773894,Large,Post-Inauguration vs Entire Period
156,0.37358684480986637,Medium,Post-Inauguration vs Entire Period
157,0.4681397738951696,Medium,Post-Inauguration vs Entire Period
158,0.5278520041109969,Large,Post-Inauguration vs Entire Period
159,0.4553956834532374,Medium,Post-Inauguration vs Entire Period
160,0.39146968139773897,Medium,Post-Inauguration vs Entire Period
161,0.6268242548818088,Large,Post-Inauguration vs Entire Period
162,0.5077081192189106,Large,Post-Inauguration vs Entire Period
163,0.49712230215827335,Large,Post-Inauguration vs Entire Period
164,0.49609455292908533,Large,Post-Inauguration vs Entire Period
165,0.38571428571428573,Medium,Post-Inauguration vs Entire Period
166,0.36742034943473795,Medium,Post-Inauguration vs Entire Period
167,0.40709146968139776,Medium,Post-Inauguration vs Entire Period
168,0.4343268242548818,Medium,Post-Inauguration vs Entire Period
169,0.4754367934224049,Large,Post-Inauguration vs Entire Period
170,0.46670092497430626,Medium,Post-Inauguration vs Entire Period
171,0.5360739979445015,Large,Post-Inauguration vs Entire Period
172,0.4261048304213772,Medium,Post-Inauguration vs Entire Period
173,0.38766700924974307,Medium,Post-Inauguration vs Entire Period
174,0.5880781089414183,Large,Post-Inauguration vs Entire Period
175,0.41510791366906474,Medium,Post-Inauguration vs Entire Period
176,0.4852004110996917,Large,Post-Inauguration vs Entire Period
177,0.55775950668037,Large,Post-Inauguration vs Entire Period
178,0.5532374100719425,Large,Post-Inauguration vs Entire Period
179,0.4141829393627955,Medium,Post-Inauguration vs Entire Period
180,0.3847893114080164,Medium,Post-Inauguration vs Entire Period
181,0.4868448098663926,Large,Post-Inauguration vs Entire Period
182,0.478622816032888,Large,Post-Inauguration vs Entire Period
183,0.3775950668036999,Medium,Post-Inauguration vs Entire Period
184,0.39280575539568346,Medium,Post-Inauguration vs Entire Period
185,0.3171634121274409,Small,Post-Inauguration vs Entire Period
186,0.5477903391572456,Large,Post-Inauguration vs Entire Period
187,0.5227132579650565,Large,Post-Inauguration vs Entire Period
