bootstrap_iteration,d_statistic,p_value,significant,comparison
78,0.4397738951695786,1.4365892058206947e-08,True,Post-Inauguration vs Entire Period
79,0.3960945529290853,5.198696818614625e-07,True,Post-Inauguration vs Entire Period
80,0.41079136690647483,1.648531070241545e-07,True,Post-Inauguration vs Entire Period
81,0.37430626927029803,2.6628061885910957e-06,True,Post-Inauguration vs Entire Period
82,0.41089414182939366,1.643883494063624e-07,True,Post-Inauguration vs Entire Period
83,0.46803699897225076,1.0588286430692107e-09,True,Post-Inauguration vs Entire Period
84,0.4398766700924974,1.4242683091178409e-08,True,Post-Inauguration vs Entire Period
85,0.4535457348406989,4.02223654390549e-09,True,Post-Inauguration vs Entire Period
86,0.4474820143884892,6.9290802862061614e-09,True,Post-Inauguration vs Entire Period
87,0.40380267214799587,2.920050358278342e-07,True,Post-Inauguration vs Entire Period
88,0.40483042137718395,2.3616036830086079e-07,True,Post-Inauguration vs Entire Period
89,0.3607399794450154,7.388554749626588e-06,True,Post-Inauguration vs Entire Period
90,0.44676258992805756,7.66661204863402e-09,True,Post-Inauguration vs Entire Period
91,0.4112024665981501,1.6104598967967569e-07,True,Post-Inauguration vs Entire Period
92,0.47533401849948614,5.330576228232049e-10,True,Post-Inauguration vs Entire Period
93,0.48982528263103803,1.3008489349990495e-10,True,Post-Inauguration vs Entire Period
94,0.42538540596094554,4.964293159221417e-08,True,Post-Inauguration vs Entire Period
95,0.5108941418293936,1.433882882881586e-11,True,Post-Inauguration vs Entire Period
96,0.4536485097636177,4.021403100744295e-09,True,Post-Inauguration vs Entire Period
97,0.4471736896197328,7.4231223218110635e-09,True,Post-Inauguration vs Entire Period
98,0.43915724563206576,1.4554795636093248e-08,True,Post-Inauguration vs Entire Period
99,0.43915724563206576,1.4554795636093248e-08,True,Post-Inauguration vs Entire Period
100,0.3891058581706064,9.051773631454002e-07,True,Post-Inauguration vs Entire Period
101,0.4394655704008222,1.4529628609126802e-08,True,Post-Inauguration vs Entire Period
102,0.36032887975334016,7.472269682141891e-06,True,Post-Inauguration vs Entire Period
103,0.4319630010277492,2.719621689351661e-08,True,Post-Inauguration vs Entire Period
104,0.49660842754367934,6.329509882918073e-11,True,Post-Inauguration vs Entire Period
105,0.4827338129496403,2.639750598192405e-10,True,Post-Inauguration vs Entire Period
106,0.3969167523124358,5.021329340977247e-07,True,Post-Inauguration vs Entire Period
107,0.5113052415210688,1.4317939879880407e-11,True,Post-Inauguration vs Entire Period
108,0.4681397738951696,1.0581823485366981e-09,True,Post-Inauguration vs Entire Period
109,0.4539568345323741,4.005160516535583e-09,True,Post-Inauguration vs Entire Period
110,0.43206577595066803,2.7191299898386352e-08,True,Post-Inauguration vs Entire Period
111,0.35991778006166497,7.481808582148909e-06,True,Post-Inauguration vs Entire Period
112,0.4246659815005139,5.0224122257940325e-08,True,Post-Inauguration vs Entire Period
113,0.41089414182939366,1.643883494063624e-07,True,Post-Inauguration vs Entire Period
114,0.4324768756423433,2.700880114634036e-08,True,Post-Inauguration vs Entire Period
115,0.41089414182939366,1.643883494063624e-07,True,Post-Inauguration vs Entire Period
116,0.4608427543679342,2.076107743182512e-09,True,Post-Inauguration vs Entire Period
117,0.38900308324768756,9.058862953897673e-07,True,Post-Inauguration vs Entire Period
118,0.38900308324768756,9.058862953897673e-07,True,Post-Inauguration vs Entire Period
119,0.41808838643371016,9.109382280884502e-08,True,Post-Inauguration vs Entire Period
120,0.4040082219938335,2.876212882547237e-07,True,Post-Inauguration vs Entire Period
121,0.4247687564234327,5.022135146529158e-08,True,Post-Inauguration vs Entire Period
122,0.4897225077081192,1.3030665945295123e-10,True,Post-Inauguration vs Entire Period
123,0.41089414182939366,1.643883494063624e-07,True,Post-Inauguration vs Entire Period
124,0.38900308324768756,9.058862953897673e-07,True,Post-Inauguration vs Entire Period
125,0.3175745118191161,0.00012636256503345178,True,Post-Inauguration vs Entire Period
126,0.5327852004110997,1.4006739496424116e-12,True,Post-Inauguration vs Entire Period
127,0.381808838643371,1.5614139636318268e-06,True,Post-Inauguration vs Entire Period
128,0.3891058581706064,9.051773631454002e-07,True,Post-Inauguration vs Entire Period
129,0.43967112024665983,1.4448458164863447e-08,True,Post-Inauguration vs Entire Period
130,0.37564234326824253,2.4712051489882924e-06,True,Post-Inauguration vs Entire Period
131,0.4033915724563207,2.9474359039843456e-07,True,Post-Inauguration vs Entire Period
132,0.4754367934224049,5.322793152075227e-10,True,Post-Inauguration vs Entire Period
133,0.46793422404933194,1.0590742477677614e-09,True,Post-Inauguration vs Entire Period
134,0.38920863309352516,9.038664556775079e-07,True,Post-Inauguration vs Entire Period
135,0.4173689619732785,9.166731233016123e-08,True,Post-Inauguration vs Entire Period
136,0.5398766700924974,6.28489709601152e-13,True,Post-Inauguration vs Entire Period
137,0.4543679342240493,3.86875434951489e-09,True,Post-Inauguration vs Entire Period
138,0.3381294964028777,3.245408486519834e-05,True,Post-Inauguration vs Entire Period
139,0.5039054470709147,3.031767959977283e-11,True,Post-Inauguration vs Entire Period
140,0.40349434737923945,2.9449675334406036e-07,True,Post-Inauguration vs Entire Period
141,0.4900308324768756,1.2887884624093173e-10,True,Post-Inauguration vs Entire Period
142,0.46094552929085303,2.0749188727074203e-09,True,Post-Inauguration vs Entire Period
143,0.40349434737923945,2.9449675334406036e-07,True,Post-Inauguration vs Entire Period
