bootstrap_iteration,d_statistic,p_value,significant,comparison
76,0.49567302679595454,5.4697001172772804e-11,True,Pre-Inauguration vs Entire Period
77,0.37316233969346263,2.4826248380066643e-06,True,Pre-Inauguration vs Entire Period
78,0.42279220102179127,5.7900073176094956e-08,True,Pre-Inauguration vs Entire Period
79,0.3880721509748723,8.205535806342346e-07,True,Pre-Inauguration vs Entire Period
80,0.5032843290584923,2.538454684537613e-11,True,Pre-Inauguration vs Entire Period
81,0.3090397247419456,0.0001855038819284604,True,Pre-Inauguration vs Entire Period
82,0.5028672714002711,2.6119290082356124e-11,True,Pre-Inauguration vs Entire Period
83,0.524867062871442,2.5350267435846643e-12,True,Pre-Inauguration vs Entire Period
84,0.49567302679595454,5.4697001172772804e-11,True,Pre-Inauguration vs Entire Period
85,0.5241372119695548,2.9888173725443858e-12,True,Pre-Inauguration vs Entire Period
86,0.4095506203732666,1.4811887951993158e-07,True,Pre-Inauguration vs Entire Period
87,0.32926702116567613,5.451138510270205e-05,True,Pre-Inauguration vs Entire Period
88,0.4234177875091231,4.686572205892471e-08,True,Pre-Inauguration vs Entire Period
89,0.4001668230632885,4.482999756278234e-07,True,Pre-Inauguration vs Entire Period
90,0.495151704723178,6.652313766358726e-11,True,Pre-Inauguration vs Entire Period
91,0.5319570430612032,1.1483838657893253e-12,True,Pre-Inauguration vs Entire Period
92,0.40913356271504536,1.5223035196568044e-07,True,Pre-Inauguration vs Entire Period
93,0.35919090814305077,6.884014176653886e-06,True,Pre-Inauguration vs Entire Period
94,0.5173600250234595,5.634475230831628e-12,True,Pre-Inauguration vs Entire Period
95,0.4169533938066938,8.155637655088243e-08,True,Pre-Inauguration vs Entire Period
96,0.3160254405171515,0.00011987158858020736,True,Pre-Inauguration vs Entire Period
97,0.48879157543530394,1.1063800628108028e-10,True,Pre-Inauguration vs Entire Period
98,0.45250755917005525,3.5512908512501974e-09,True,Pre-Inauguration vs Entire Period
99,0.3951621311646335,4.695307440340294e-07,True,Pre-Inauguration vs Entire Period
100,0.4232092586800125,4.939772319694635e-08,True,Pre-Inauguration vs Entire Period
101,0.5033885934730477,2.5366633100480427e-11,True,Pre-Inauguration vs Entire Period
102,0.44573037222395995,6.7241052934561394e-09,True,Pre-Inauguration vs Entire Period
103,0.4167448649775832,8.175860909241185e-08,True,Pre-Inauguration vs Entire Period
104,0.4961943488687311,5.3262186332902974e-11,True,Pre-Inauguration vs Entire Period
105,0.437389219059535,1.5653699114269846e-08,True,Pre-Inauguration vs Entire Period
106,0.46720884162235427,9.125288726406813e-10,True,Pre-Inauguration vs Entire Period
107,0.4166406005630278,8.201732720037768e-08,True,Pre-Inauguration vs Entire Period
108,0.517881347096236,5.530808958287236e-12,True,Pre-Inauguration vs Entire Period
109,0.49567302679595454,5.4697001172772804e-11,True,Pre-Inauguration vs Entire Period
110,0.39443228026274635,5.076246295765252e-07,True,Pre-Inauguration vs Entire Period
111,0.45918048170159526,2.0885736985414464e-09,True,Pre-Inauguration vs Entire Period
112,0.4383275987905328,1.2812914608449224e-08,True,Pre-Inauguration vs Entire Period
113,0.33010113648211864,4.8763716711473516e-05,True,Pre-Inauguration vs Entire Period
114,0.4664789907204671,1.0263580675186648e-09,True,Pre-Inauguration vs Entire Period
115,0.4163278073193619,8.418537831611262e-08,True,Pre-Inauguration vs Entire Period
116,0.43082056094255033,2.4520610126205507e-08,True,Pre-Inauguration vs Entire Period
117,0.37326660410801793,2.461842172921535e-06,True,Pre-Inauguration vs Entire Period
118,0.5170472317797935,6.1209923174117454e-12,True,Pre-Inauguration vs Entire Period
119,0.46720884162235427,9.125288726406813e-10,True,Pre-Inauguration vs Entire Period
120,0.46011886143259306,1.7961969930353137e-09,True,Pre-Inauguration vs Entire Period
121,0.4383275987905328,1.2812914608449224e-08,True,Pre-Inauguration vs Entire Period
122,0.3738921905953498,2.4269661180495946e-06,True,Pre-Inauguration vs Entire Period
123,0.4959858200396205,5.338787163252681e-11,True,Pre-Inauguration vs Entire Period
124,0.5102700448336983,1.2014261625344181e-11,True,Pre-Inauguration vs Entire Period
125,0.30810134501094777,0.00019369444425241747,True,Pre-Inauguration vs Entire Period
126,0.5033885934730477,2.5366633100480427e-11,True,Pre-Inauguration vs Entire Period
127,0.43801480554686684,1.3083422248138197e-08,True,Pre-Inauguration vs Entire Period
128,0.4744030862266708,4.573569510977837e-10,True,Pre-Inauguration vs Entire Period
129,0.372953810864352,2.5484043267518606e-06,True,Pre-Inauguration vs Entire Period
130,0.4381190699614222,1.2947546063525402e-08,True,Pre-Inauguration vs Entire Period
131,0.4313418830153269,2.3982152848032934e-08,True,Pre-Inauguration vs Entire Period
132,0.4811802731727661,2.349624468776312e-10,True,Pre-Inauguration vs Entire Period
133,0.43092482535710563,2.4284059188990835e-08,True,Pre-Inauguration vs Entire Period
134,0.40162652486706285,2.882644039148783e-07,True,Pre-Inauguration vs Entire Period
135,0.46001459701803776,1.798238957697289e-09,True,Pre-Inauguration vs Entire Period
136,0.49577729121050984,5.3993053266700734e-11,True,Pre-Inauguration vs Entire Period
137,0.45938901053070585,1.937728287182298e-09,True,Pre-Inauguration vs Entire Period
138,0.4381190699614222,1.2947546063525402e-08,True,Pre-Inauguration vs Entire Period
139,0.5895109998957356,1.20973621834745e-15,True,Pre-Inauguration vs Entire Period
140,0.41611927849025127,8.751887401672826e-08,True,Pre-Inauguration vs Entire Period
141,0.4089250338859347,1.5784527150462337e-07,True,Pre-Inauguration vs Entire Period
142,0.44541757898029405,6.773205330224133e-09,True,Pre-Inauguration vs Entire Period
143,0.5241372119695548,2.9888173725443858e-12,True,Pre-Inauguration vs Entire Period
144,0.44541757898029405,6.773205330224133e-09,True,Pre-Inauguration vs Entire Period
145,0.44552184339484935,6.745305721408279e-09,True,Pre-Inauguration vs Entire Period
146,0.4097591492023772,1.4777047001309914e-07,True,Pre-Inauguration vs Entire Period
147,0.3304139297257846,4.830164724380769e-05,True,Pre-Inauguration vs Entire Period
148,0.33687832342821394,3.170200544981517e-05,True,Pre-Inauguration vs Entire Period
149,0.36607235950370137,4.162471285226989e-06,True,Pre-Inauguration vs Entire Period
150,0.43102908977166093,2.4135124552195135e-08,True,Pre-Inauguration vs Entire Period
151,0.46710457720779897,9.149943909664269e-10,True,Pre-Inauguration vs Entire Period
152,0.3880721509748723,8.205535806342346e-07,True,Pre-Inauguration vs Entire Period
153,0.4744030862266708,4.573569510977837e-10,True,Pre-Inauguration vs Entire Period
154,0.3872380356584298,8.841328383385557e-07,True,Pre-Inauguration vs Entire Period
155,0.46710457720779897,9.149943909664269e-10,True,Pre-Inauguration vs Entire Period
156,0.46011886143259306,1.7961969930353137e-09,True,Pre-Inauguration vs Entire Period
157,0.3229068918778021,7.721317669260466e-05,True,Pre-Inauguration vs Entire Period
158,0.3439683036179752,1.997355682453428e-05,True,Pre-Inauguration vs Entire Period
159,0.5391512876655198,5.119162964036347e-13,True,Pre-Inauguration vs Entire Period
160,0.4528203524137212,3.5002975621018232e-09,True,Pre-Inauguration vs Entire Period
161,0.5028672714002711,2.6119290082356124e-11,True,Pre-Inauguration vs Entire Period
162,0.3952663955791888,4.6884875237620465e-07,True,Pre-Inauguration vs Entire Period
163,0.4306120321134397,2.5361309882729887e-08,True,Pre-Inauguration vs Entire Period
164,0.39537065999374416,4.685203273196978e-07,True,Pre-Inauguration vs Entire Period
165,0.4095506203732666,1.4811887951993158e-07,True,Pre-Inauguration vs Entire Period
