bootstrap_iteration,delta,interpretation,comparison
113,-0.9370600414078675,Large,Pre vs Post Inauguration
114,-0.9163561076604555,Large,Pre vs Post Inauguration
115,-0.8857142857142857,Large,Pre vs Post Inauguration
116,-0.9109730848861284,Large,Pre vs Post Inauguration
117,-0.8716356107660456,Large,Pre vs Post Inauguration
118,-0.8331262939958592,Large,Pre vs Post Inauguration
119,-0.9037267080745341,Large,Pre vs Post Inauguration
120,-0.9196687370600414,Large,Pre vs Post Inauguration
121,-0.934368530020704,Large,Pre vs Post Inauguration
122,-0.9569358178053831,Large,Pre vs Post Inauguration
123,-0.891511387163561,Large,Pre vs Post Inauguration
124,-0.9577639751552796,Large,Pre vs Post Inauguration
125,-0.9515527950310559,Large,Pre vs Post Inauguration
126,-0.9360248447204969,Large,Pre vs Post Inauguration
127,-0.9184265010351967,Large,Pre vs Post Inauguration
128,-0.917184265010352,Large,Pre vs Post Inauguration
129,-0.9333333333333333,Large,Pre vs Post Inauguration
130,-0.977639751552795,Large,Pre vs Post Inauguration
131,-0.9333333333333333,Large,Pre vs Post Inauguration
132,-0.9575569358178054,Large,Pre vs Post Inauguration
133,-0.9254658385093167,Large,Pre vs Post Inauguration
134,-0.9252587991718426,Large,Pre vs Post Inauguration
135,-0.9325051759834369,Large,Pre vs Post Inauguration
136,-0.8884057971014493,Large,Pre vs Post Inauguration
137,-0.9548654244306418,Large,Pre vs Post Inauguration
138,-0.9461697722567288,Large,Pre vs Post Inauguration
139,-0.90351966873706,Large,Pre vs Post Inauguration
140,-0.9358178053830227,Large,Pre vs Post Inauguration
141,-0.8865424430641822,Large,Pre vs Post Inauguration
142,-0.9556935817805383,Large,Pre vs Post Inauguration
143,-0.8993788819875776,Large,Pre vs Post Inauguration
144,-0.9552795031055901,Large,Pre vs Post Inauguration
145,-0.9389233954451346,Large,Pre vs Post Inauguration
146,-0.9204968944099379,Large,Pre vs Post Inauguration
147,-0.9262939958592132,Large,Pre vs Post Inauguration
148,-0.9192546583850931,Large,Pre vs Post Inauguration
149,-0.934368530020704,Large,Pre vs Post Inauguration
150,-0.9627329192546584,Large,Pre vs Post Inauguration
151,-0.9606625258799172,Large,Pre vs Post Inauguration
152,-0.8712215320910973,Large,Pre vs Post Inauguration
153,-0.9614906832298137,Large,Pre vs Post Inauguration
154,-0.9768115942028985,Large,Pre vs Post Inauguration
155,-0.8906832298136645,Large,Pre vs Post Inauguration
156,-0.9049689440993789,Large,Pre vs Post Inauguration
157,-0.9337474120082816,Large,Pre vs Post Inauguration
158,-0.906832298136646,Large,Pre vs Post Inauguration
159,-0.9262939958592132,Large,Pre vs Post Inauguration
160,-0.9623188405797102,Large,Pre vs Post Inauguration
161,-0.9813664596273292,Large,Pre vs Post Inauguration
162,-0.8848861283643892,Large,Pre vs Post Inauguration
163,-0.968944099378882,Large,Pre vs Post Inauguration
164,-0.9287784679089027,Large,Pre vs Post Inauguration
165,-0.9126293995859214,Large,Pre vs Post Inauguration
166,-0.9250517598343685,Large,Pre vs Post Inauguration
167,-0.9540372670807453,Large,Pre vs Post Inauguration
168,-0.8666666666666667,Large,Pre vs Post Inauguration
169,-0.9196687370600414,Large,Pre vs Post Inauguration
170,-0.9335403726708075,Large,Pre vs Post Inauguration
171,-0.9853002070393375,Large,Pre vs Post Inauguration
172,-0.9505175983436853,Large,Pre vs Post Inauguration
173,-0.9097308488612836,Large,Pre vs Post Inauguration
174,-0.9710144927536232,Large,Pre vs Post Inauguration
175,-0.9296066252587992,Large,Pre vs Post Inauguration
176,-0.9374741200828157,Large,Pre vs Post Inauguration
177,-0.9614906832298137,Large,Pre vs Post Inauguration
178,-0.9322981366459627,Large,Pre vs Post Inauguration
179,-0.94824016563147,Large,Pre vs Post Inauguration
180,-0.965631469979296,Large,Pre vs Post Inauguration
181,-0.9643892339544513,Large,Pre vs Post Inauguration
182,-0.9057971014492754,Large,Pre vs Post Inauguration
183,-0.9629399585921325,Large,Pre vs Post Inauguration
184,-0.8985507246376812,Large,Pre vs Post Inauguration
185,-0.9527950310559006,Large,Pre vs Post Inauguration
186,-0.8869565217391304,Large,Pre vs Post Inauguration
187,-0.8865424430641822,Large,Pre vs Post Inauguration
188,-0.9515527950310559,Large,Pre vs Post Inauguration
189,-0.9022774327122153,Large,Pre vs Post Inauguration
190,-0.8952380952380953,Large,Pre vs Post Inauguration
191,-0.9710144927536232,Large,Pre vs Post Inauguration
192,-0.9875776397515528,Large,Pre vs Post Inauguration
193,-0.9594202898550724,Large,Pre vs Post Inauguration
194,-0.8910973084886128,Large,Pre vs Post Inauguration
195,-0.9047619047619048,Large,Pre vs Post Inauguration
196,-0.9188405797101449,Large,Pre vs Post Inauguration
197,-0.9643892339544513,Large,Pre vs Post Inauguration
198,-0.9445134575569358,Large,Pre vs Post Inauguration
199,-0.9426501035196687,Large,Pre vs Post Inauguration
200,-0.9668737060041408,Large,Pre vs Post Inauguration
201,-0.9238095238095239,Large,Pre vs Post Inauguration
202,-0.8795031055900621,Large,Pre vs Post Inauguration
203,-0.9511387163561077,Large,Pre vs Post Inauguration
204,-0.9267080745341615,Large,Pre vs Post Inauguration
205,-0.9374741200828157,Large,Pre vs Post Inauguration
206,-0.9229813664596274,Large,Pre vs Post Inauguration
207,-0.8919254658385093,Large,Pre vs Post Inauguration
208,-0.9159420289855073,Large,Pre vs Post Inauguration
209,-0.8530020703933747,Large,Pre vs Post Inauguration
210,-0.8927536231884058,Large,Pre vs Post Inauguration
211,-0.9387163561076605,Large,Pre vs Post Inauguration
212,-0.9511387163561077,Large,Pre vs Post Inauguration
213,-0.9436853002070393,Large,Pre vs Post Inauguration
214,-0.9329192546583851,Large,Pre vs Post Inauguration
215,-0.9432712215320911,Large,Pre vs Post Inauguration
216,-0.9577639751552796,Large,Pre vs Post Inauguration
217,-0.9296066252587992,Large,Pre vs Post Inauguration
218,-0.9664596273291925,Large,Pre vs Post Inauguration
219,-0.9451345755693582,Large,Pre vs Post Inauguration
220,-0.9561076604554866,Large,Pre vs Post Inauguration
221,-0.9432712215320911,Large,Pre vs Post Inauguration
222,-0.9250517598343685,Large,Pre vs Post Inauguration
223,-0.898343685300207,Large,Pre vs Post Inauguration
224,-0.9345755693581781,Large,Pre vs Post Inauguration
225,-0.9440993788819876,Large,Pre vs Post Inauguration
226,-0.9325051759834369,Large,Pre vs Post Inauguration
227,-0.9260869565217391,Large,Pre vs Post Inauguration
228,-0.9337474120082816,Large,Pre vs Post Inauguration
229,-0.9345755693581781,Large,Pre vs Post Inauguration
230,-0.9451345755693582,Large,Pre vs Post Inauguration
231,-0.9519668737060042,Large,Pre vs Post Inauguration
232,-0.9412008281573498,Large,Pre vs Post Inauguration
233,-0.8993788819875776,Large,Pre vs Post Inauguration
234,-0.9225672877846791,Large,Pre vs Post Inauguration
235,-0.9333333333333333,Large,Pre vs Post Inauguration
236,-0.891511387163561,Large,Pre vs Post Inauguration
237,-0.9333333333333333,Large,Pre vs Post Inauguration
238,-0.9412008281573498,Large,Pre vs Post Inauguration
239,-0.9457556935817806,Large,Pre vs Post Inauguration
240,-0.9438923395445135,Large,Pre vs Post Inauguration
241,-0.8985507246376812,Large,Pre vs Post Inauguration
242,-0.9082815734989648,Large,Pre vs Post Inauguration
243,-0.9354037267080745,Large,Pre vs Post Inauguration
244,-0.9527950310559006,Large,Pre vs Post Inauguration
245,-0.924223602484472,Large,Pre vs Post Inauguration
246,-0.9093167701863354,Large,Pre vs Post Inauguration
247,-0.8815734989648033,Large,Pre vs Post Inauguration
248,-0.8952380952380953,Large,Pre vs Post Inauguration
249,-0.9308488612836439,Large,Pre vs Post Inauguration
250,-0.8691511387163561,Large,Pre vs Post Inauguration
251,-0.9229813664596274,Large,Pre vs Post Inauguration
252,-0.8894409937888199,Large,Pre vs Post Inauguration
253,-0.9322981366459627,Large,Pre vs Post Inauguration
254,-0.9797101449275363,Large,Pre vs Post Inauguration
255,-0.9279503105590062,Large,Pre vs Post Inauguration
256,-0.9118012422360249,Large,Pre vs Post Inauguration
257,-0.9022774327122153,Large,Pre vs Post Inauguration
258,-0.968944099378882,Large,Pre vs Post Inauguration
259,-0.9861283643892339,Large,Pre vs Post Inauguration
260,-0.9250517598343685,Large,Pre vs Post Inauguration
261,-0.905175983436853,Large,Pre vs Post Inauguration
262,-0.8997929606625259,Large,Pre vs Post Inauguration
263,-0.9581780538302277,Large,Pre vs Post Inauguration
