Period,count,mean,median,trimmed_mean_10,trimmed_mean_20,std,mad,iqr,min,max,skewness,kurtosis
Pre-Inauguration,69,15892.014450294384,15891.2998046875,15894.628015350878,15892.02089389535,251.31674009466911,178.2998046875,338.599609375,15069.400390625,16368.7998046875,-0.26113397731182386,0.3294155330409465
Post-Inauguration,70,16465.537123325892,16367.25,16454.635672433036,16432.807105654763,239.22971456114203,135.39990234375,413.20068359375,15881.2001953125,17051.900390625,0.4101743533608699,-0.6858479533111468
Entire Period,139,16180.838818008093,16230.900390625,16179.951284222898,16173.12110523897,377.5731185907438,291.099609375,481.85009765625,15069.400390625,17051.900390625,-0.03930346251823295,-0.4224824101672042
